email,id,idLegislatura,id_evento,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto
dep.jonasdonizette@camara.leg.br,160548,57,75930,Jonas Donizette,PSB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160548,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/160548.jpg
dep.pedrouczai@camara.leg.br,160604,57,75930,Pedro Uczai,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg
dep.rodrigovaladares@camara.leg.br,165470,57,75930,Rodrigo Valadares,União,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/165470,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/165470.jpg
dep.geovaniadesa@camara.leg.br,178966,57,75930,Geovania de Sá,PSDB,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg
dep.ricardoguidi@camara.leg.br,204362,57,75930,Ricardo Guidi,PL,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/204362,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204362.jpg
dep.nataliabonavides@camara.leg.br,204453,57,75930,Natália Bonavides,PT,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/204453,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg
dep.rogeriocorreia@camara.leg.br,204480,57,75930,Rogério Correia,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204480,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204480.jpg
dep.maurobenevidesfilho@camara.leg.br,204486,57,75930,Mauro Benevides Filho,PDT,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204486,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/204486.jpg
dep.zevitor@camara.leg.br,204517,57,75930,Zé Vitor,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204517,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204517.jpg
dep.junioamaral@camara.leg.br,204520,57,75930,Junio Amaral,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204520,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204520.jpg
dep.ajalbuquerque@camara.leg.br,204549,57,75930,AJ Albuquerque,PP,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
dep.josivaldojp@camara.leg.br,215043,57,75930,Josivaldo JP,PSD,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/215043.jpg
null,218086,57,75930,Ely Santos,Republican,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/218086,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/218086.jpg
dep.ledaborges@camara.leg.br,220566,57,75930,Lêda Borges,PSDB,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/220566,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220566.jpg
null,220577,57,75930,Augusto Puppio,MDB,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220577,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/220577.jpg
null,220600,57,75930,Lebrão,União,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/220600,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/220600.jpg
dep.rodrigogambale@camara.leg.br,220641,57,75930,Rodrigo Gambale,Podemos,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220641,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/220641.jpg
dep.mauricioneves@camara.leg.br,220647,57,75930,Mauricio Neves,PP,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220647,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/220647.jpg
dep.duartejr@camara.leg.br,220686,57,75930,Duarte Jr.,PSB,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/220686,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,https://www.camara.leg.br/internet/deputado/bandep/220686.jpg
dep.ricardomaia@camara.leg.br,220694,57,75930,Ricardo Maia,MDB,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/220694,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/220694.jpg
dep.amommandel@camara.leg.br,220715,57,75930,Amom Mandel,Cidadania,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/220715,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
dep.osmarterra@camara.leg.br,73692,57,75990,Osmar Terra,PL,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/73692,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/73692.jpg
dep.clodoaldomagalhaes@camara.leg.br,88256,57,75990,Clodoaldo Magalhães,PV,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/88256,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,https://www.camara.leg.br/internet/deputado/bandep/88256.jpg
dep.roberiomonteiro@camara.leg.br,204489,57,75990,Robério Monteiro,PSB,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204489,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/204489.jpg
dep.gilsondaniel@camara.leg.br,220529,57,75990,Gilson Daniel,PODE,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/220529,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/220529.jpg
dep.andreiasiqueira@camara.leg.br,220676,57,75990,Andreia Siqueira,PSB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220676,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
dep.enfermeirarejane@camara.leg.br,230765,57,75990,Enfermeira Rejane,PCdoB,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/230765,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,https://www.camara.leg.br/internet/deputado/bandep/230765.jpg
dep.thiagodejoaldo@camara.leg.br,220560,57,75912,Thiago de Joaldo,REPUBLICANOS,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220560,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220560.jpg
dep.yandramoura@camara.leg.br,220564,57,75912,Yandra Moura,UNIÃO,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220564,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/220564.jpg
dep.danielagrobom@camara.leg.br,220571,57,75912,Daniel Agrobom,PSD,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/220571,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/220571.jpg
dep.welitonprado@camara.leg.br,160518,57,75947,Weliton Prado,SOLIDARIEDADE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/160518,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,https://www.camara.leg.br/internet/deputado/bandep/160518.jpg
dep.brunofarias@camara.leg.br,210989,57,75947,Bruno Farias,REPUBLICANOS,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/210989,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/210989.jpg
dep.jefersonrodrigues@camara.leg.br,220567,57,75947,Jeferson Rodrigues,PSDB,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/220567,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/220567.jpg
dep.icarodevalmir@camara.leg.br,220563,57,76169,Icaro de Valmir,REPUBLICANOS,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220563,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220563.jpg
dep.capitaoalbertoneto@camara.leg.br,204572,57,76170,Capitão Alberto Neto,PL,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/204572,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
dep.geovaniadesa@camara.leg.br,178966,57,76211,Geovania de Sá,REPUBLICANOS,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg
dep.cabogilbertosilva@camara.leg.br,220574,57,76363,Cabo Gilberto Silva,PL,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/220574,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220574.jpg
dep.zezinhobarbary@camara.leg.br,220592,57,76365,Zezinho Barbary,PP,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/220592,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/220592.jpg
dep.pedrouczai@camara.leg.br,160604,57,76469,Pedro Uczai,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg
dep.raimundosantos@camara.leg.br,74084,57,76485,Raimundo Santos,PSD,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/74084,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/74084.jpg
dep.coronelchrisostomo@camara.leg.br,204378,57,76485,Coronel Chrisóstomo,PL,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/204378,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204378.jpg
dep.delegadaadrianaaccorsi@camara.leg.br,220565,57,76552,Delegada Adriana Accorsi,PT,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/220565,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/220565.jpg
dep.dra.alessandrahaber@camara.leg.br,220674,57,76552,Dra. Alessandra Haber,PODE,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220674,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/220674.jpg
dep.rogeriocorreia@camara.leg.br,204480,57,75390,Rogério Correia,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204480,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204480.jpg
dep.dagobertonogueira@camara.leg.br,141411,57,75395,Dagoberto Nogueira,PSDB,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg
dep.paulinhodaforca@camara.leg.br,141518,57,75395,Paulinho da Força,Solidaried,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/141518,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,https://www.camara.leg.br/internet/deputado/bandep/141518.jpg
dep.hugomotta@camara.leg.br,160674,57,75395,Hugo Motta,Republican,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160674,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/160674.jpg
dep.celiosilveira@camara.leg.br,178876,57,75395,Célio Silveira,MDB,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/178876,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/178876.jpg
dep.sargentofahur@camara.leg.br,204387,57,75395,Sargento Fahur,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204387,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204387.jpg
dep.luisacanziani@camara.leg.br,204410,57,75395,Luisa Canziani,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204410,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/204410.jpg
dep.josemedeiros@camara.leg.br,204472,57,75395,José Medeiros,PL,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/204472,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204472.jpg
dep.juarezcosta@camara.leg.br,204474,57,75395,Juarez Costa,MDB,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/204474,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
dep.airtonfaleiro@camara.leg.br,204495,57,75395,Airton Faleiro,PT,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
dep.ajalbuquerque@camara.leg.br,204549,57,75395,AJ Albuquerque,PP,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
dep.celiaxakriaba@camara.leg.br,206018,57,75395,Célia Xakriabá,PSOL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/206018,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,https://www.camara.leg.br/internet/deputado/bandep/206018.jpg
dep.mauriciomarcon@camara.leg.br,220550,57,75395,Mauricio Marcon,Podemos,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220550,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220550.jpg
dep.francianebayer@camara.leg.br,220551,57,75395,Franciane Bayer,Republican,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220551,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220551.jpg
dep.delegadakatarina@camara.leg.br,220561,57,75395,Delegada Katarina,PSD,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220561,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/220561.jpg
dep.danicunha@camara.leg.br,220603,57,75395,Dani Cunha,União,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220603,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220603.jpg
dep.mauriciodovolei@camara.leg.br,220628,57,75395,Mauricio do Vôlei,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220628,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220628.jpg
dep.pauloalexandrebarbosa@camara.leg.br,220650,57,75395,Paulo Alexandre Barbosa,PSDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220650,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/220650.jpg
dep.andrefernandes@camara.leg.br,220657,57,75395,André Fernandes,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/220657,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220657.jpg
dep.hendersonpinto@camara.leg.br,220672,57,75395,Henderson Pinto,MDB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220672,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/220672.jpg
dep.delegadocaveira@camara.leg.br,220673,57,75395,Delegado Caveira,PL,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220673,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220673.jpg
dep.joaocury@camara.leg.br,230957,57,75395,João Cury,MDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/230957,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/230957.jpg
dep.daniloforte@camara.leg.br,62881,57,75444,Danilo Forte,União,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/62881,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/62881.jpg
null,141480,57,75444,Lázaro Botelho,PP,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/141480,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/141480.jpg
dep.luizfernandofaria@camara.leg.br,141487,57,75444,Luiz Fernando Faria,PSD,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/141487,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/141487.jpg
dep.domingosneto@camara.leg.br,143632,57,75444,Domingos Neto,PSD,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/143632,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg
dep.marcelvanhattem@camara.leg.br,156190,57,75444,Marcel van Hattem,Novo,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/156190,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,https://www.camara.leg.br/internet/deputado/bandep/156190.jpg
dep.marceloqueiroz@camara.leg.br,160161,57,75444,Marcelo Queiroz,PP,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/160161,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/160161.jpg
dep.augustocoutinho@camara.leg.br,160665,57,75444,Augusto Coutinho,Republican,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/160665,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
null,163321,57,75444,Ronaldo Nogueira,Republican,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/163321,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/163321.jpg
dep.jorgesolla@camara.leg.br,178857,57,75444,Jorge Solla,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/178857,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/178857.jpg
dep.lucianoducci@camara.leg.br,178931,57,75444,Luciano Ducci,PSB,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/178931,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/178931.jpg
dep.miguellombardi@camara.leg.br,178985,57,75444,Miguel Lombardi,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178985,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/178985.jpg
dep.orlandosilva@camara.leg.br,178987,57,75444,Orlando Silva,PCdoB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178987,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg
dep.vitorlippi@camara.leg.br,178992,57,75444,Vitor Lippi,PSDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178992,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/178992.jpg
dep.nataliabonavides@camara.leg.br,204453,57,75444,Natália Bonavides,PT,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/204453,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg
dep.luizlima@camara.leg.br,204455,57,75444,Luiz Lima,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/204455,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,https://www.camara.leg.br/internet/deputado/bandep/204455.jpg
dep.luizcarlosmotta@camara.leg.br,204485,57,75444,Luiz Carlos Motta,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204485,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204485.jpg
dep.rosanavalle@camara.leg.br,204525,57,75444,Rosana Valle,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204525,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204525.jpg
dep.pastorsargentoisidorio@camara.leg.br,204553,57,75444,Pastor Sargento Isidório,Avante,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204553,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,https://www.camara.leg.br/internet/deputado/bandep/204553.jpg
null,204571,57,75444,Alex Santana,Republican,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204571,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg
dep.icarodevalmir@camara.leg.br,220563,57,75444,Icaro de Valmir,PL,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220563,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220563.jpg
dep.dr.fernandomaximo@camara.leg.br,220610,57,75444,Dr. Fernando Máximo,União,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/220610,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220610.jpg
