id_deputado,parlamentar,partido,frente_A,frente_B
180214,Pastor Diniz,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220553,Denise Pessôa,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74856,Laura Carneiro,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220533,Prof. Reginaldo Veras,PV,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204560,Adolfo Viana,PSDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204351,Dr. Luiz Ovando,PP,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178954,Lucio Mosquini,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204455,Luiz Lima,NOVO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204426,Carlos Veras,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220608,Cristiane Lopes,PODE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
198783,Emanuel Pinheiro Neto,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160604,Pedro Uczai,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204535,Sâmia Bomfim,PSOL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
98148,Cobalchini,MDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220663,Eriberto Medeiros,PSB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74159,Odair Cunha,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220693,Roberta Roma,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160569,Waldenor Pereira,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220638,Antonio Carlos Rodrigues,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204504,Cezinha de Madureira,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178929,Diego Garcia,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220656,Fernanda Pessoa,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220700,Florentino Neto,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220534,Fred Linhares,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74317,Júlio Cesar,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204550,Júnior Mano,PSB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220588,Roberto Duarte,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178992,Vitor Lippi,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204495,Airton Faleiro,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204553,Pastor Sargento Isidório,AVANTE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
221148,Alfredinho,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
188097,Merlong Solano,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220682,Tadeu Veneri,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220592,Zezinho Barbary,PP,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178993,Carlos Henrique Gaguim,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
141408,Cleber Verde,MDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220571,Daniel Agrobom,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220625,Delegada Ione,AVANTE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204512,Delegado Marcelo Freitas,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160556,Padre João,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220543,Ricardo Ayres,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220618,Sargento Portugal,PODE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74270,Gilberto Nascimento,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
139285,Lídice da Mata,PSB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74041,Luiz Couto,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178997,Moses Rodrigues,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220626,Rafael Simoes,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
221328,Adilson Barroso,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160553,Antonio Brito,PSD,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
109429,Benes Leocádio,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204491,Gilberto Abramo,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
141464,José Airton Félix Cirilo,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220591,Meire Serafim,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220598,Tarcísio Motta,PSOL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
69871,Bacelar,PV,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178876,Célio Silveira,MDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204511,David Soares,PODE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
178866,Luizianne Lins,REDE,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220648,Marangoni,UNIÃO,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204501,Alencar Santana,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204355,Da Vitoria,PP,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
160598,Flávia Morais,PDT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
220599,Marcelo Crivella,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
98057,Lafayette de Andrada,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
179000,Marcelo Álvaro Antônio,PL,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
150418,Márcio Marinho,REPUBLICANOS,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
161440,Pezenti,MDB,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
74376,Vander Loubet,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
204396,Vermelho,PP,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
224333,Welter,PT,Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira
