dataRegistroVoto,deputado_,tipoVoto
2026-05-06T20:57:28,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204526.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.luizphilippedeorleansebraganca@camara.leg.br"",""nome"":""Luiz Philippe de Orleans e Bragança"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204526"",""siglaUf"":""SP"",""siglaPartido"":""PL"",""id"":""204526""}",Não
2026-05-06T20:57:16,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/98615.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.ismael@camara.leg.br"",""nome"":""Ismael"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/98615"",""siglaUf"":""SC"",""siglaPartido"":""PL"",""id"":""98615""}",Não
2026-05-06T20:57:10,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160518.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37904"",""idLegislatura"":""57"",""email"":""dep.welitonprado@camara.leg.br"",""nome"":""Weliton Prado"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160518"",""siglaUf"":""MG"",""siglaPartido"":""SOLIDARIEDADE"",""id"":""160518""}",Sim
2026-05-06T20:56:57,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204407.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36839"",""idLegislatura"":""57"",""email"":""dep.fernandamelchionna@camara.leg.br"",""nome"":""Fernanda Melchionna"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204407"",""siglaUf"":""RS"",""siglaPartido"":""PSOL"",""id"":""204407""}",Sim
2026-05-06T20:56:46,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220695.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37908"",""idLegislatura"":""57"",""email"":""dep.rogeriasantos@camara.leg.br"",""nome"":""Rogéria Santos"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220695"",""siglaUf"":""BA"",""siglaPartido"":""REPUBLICANOS"",""id"":""220695""}",Sim
2026-05-06T20:56:45,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/221329.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36835"",""idLegislatura"":""57"",""email"":""dep.ricardoabrao@camara.leg.br"",""nome"":""Ricardo Abrão"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/221329"",""siglaUf"":""RJ"",""siglaPartido"":""PSDB"",""id"":""221329""}",Sim
2026-05-06T20:56:41,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/162332.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36834"",""idLegislatura"":""57"",""email"":""dep.luiznishimori@camara.leg.br"",""nome"":""Luiz Nishimori"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/162332"",""siglaUf"":""PR"",""siglaPartido"":""PSD"",""id"":""162332""}",Sim
2026-05-06T20:56:22,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/178829.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.capitaoaugusto@camara.leg.br"",""nome"":""Capitão Augusto"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/178829"",""siglaUf"":""SP"",""siglaPartido"":""PL"",""id"":""178829""}",Não
2026-05-06T20:56:09,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204460.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.carlosjordy@camara.leg.br"",""nome"":""Carlos Jordy"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204460"",""siglaUf"":""RJ"",""siglaPartido"":""PL"",""id"":""204460""}",Não
2026-05-06T20:56:02,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220549.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37903"",""idLegislatura"":""57"",""email"":""dep.anyortiz@camara.leg.br"",""nome"":""Any Ortiz"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220549"",""siglaUf"":""RS"",""siglaPartido"":""PP"",""id"":""220549""}",Não
2026-05-06T20:55:31,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204480.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.rogeriocorreia@camara.leg.br"",""nome"":""Rogério Correia"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204480"",""siglaUf"":""MG"",""siglaPartido"":""PT"",""id"":""204480""}",Sim
2026-05-06T20:55:28,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/235712.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36898"",""idLegislatura"":""57"",""email"":""dep.vava@camara.leg.br"",""nome"":""Vavá"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/235712"",""siglaUf"":""MG"",""siglaPartido"":""AVANTE"",""id"":""235712""}",Sim
2026-05-06T20:55:26,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220702.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.geraldomendes@camara.leg.br"",""nome"":""Geraldo Mendes"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220702"",""siglaUf"":""PR"",""siglaPartido"":""UNIÃO"",""id"":""220702""}",Sim
2026-05-06T20:54:43,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/80815.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37908"",""idLegislatura"":""57"",""email"":""dep.leoprates@camara.leg.br"",""nome"":""Leo Prates"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/80815"",""siglaUf"":""BA"",""siglaPartido"":""REPUBLICANOS"",""id"":""80815""}",Sim
2026-05-06T20:54:39,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/74043.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36834"",""idLegislatura"":""57"",""email"":""dep.wellingtonroberto@camara.leg.br"",""nome"":""Wellington Roberto"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/74043"",""siglaUf"":""PB"",""siglaPartido"":""PSD"",""id"":""74043""}",Sim
2026-05-06T20:54:36,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/74428.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.mendoncafilho@camara.leg.br"",""nome"":""Mendonça Filho"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/74428"",""siglaUf"":""PE"",""siglaPartido"":""PL"",""id"":""74428""}",Não
2026-05-06T20:54:20,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220642.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36896"",""idLegislatura"":""57"",""email"":""dep.delegadobrunolima@camara.leg.br"",""nome"":""Delegado Bruno Lima"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220642"",""siglaUf"":""SP"",""siglaPartido"":""PODE"",""id"":""220642""}",Não
2026-05-06T20:54:18,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/178871.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37908"",""idLegislatura"":""57"",""email"":""dep.evairvieirademelo@camara.leg.br"",""nome"":""Evair Vieira de Melo"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/178871"",""siglaUf"":""ES"",""siglaPartido"":""REPUBLICANOS"",""id"":""178871""}",Não
2026-05-06T20:54:09,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220542.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36899"",""idLegislatura"":""57"",""email"":""dep.alexandreguimaraes@camara.leg.br"",""nome"":""Alexandre Guimarães"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220542"",""siglaUf"":""TO"",""siglaPartido"":""MDB"",""id"":""220542""}",Sim
2026-05-06T20:54:06,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/178905.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.fabiogarcia@camara.leg.br"",""nome"":""Fabio Garcia"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/178905"",""siglaUf"":""MT"",""siglaPartido"":""UNIÃO"",""id"":""178905""}",Não
2026-05-06T20:54:06,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/234673.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37904"",""idLegislatura"":""57"",""email"":""dep.vanderlanalves@camara.leg.br"",""nome"":""Vanderlan Alves"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/234673"",""siglaUf"":""CE"",""siglaPartido"":""SOLIDARIEDADE"",""id"":""234673""}",Sim
2026-05-06T20:54:05,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160575.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.erikakokay@camara.leg.br"",""nome"":""Erika Kokay"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160575"",""siglaUf"":""DF"",""siglaPartido"":""PT"",""id"":""160575""}",Sim
2026-05-06T20:54:01,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160598.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36899"",""idLegislatura"":""57"",""email"":""dep.flaviamorais@camara.leg.br"",""nome"":""Flávia Morais"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160598"",""siglaUf"":""GO"",""siglaPartido"":""MDB"",""id"":""160598""}",Sim
2026-05-06T20:54:00,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/74376.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.vanderloubet@camara.leg.br"",""nome"":""Vander Loubet"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/74376"",""siglaUf"":""MS"",""siglaPartido"":""PT"",""id"":""74376""}",Sim
2026-05-06T20:53:41,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220527.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.jackrocha@camara.leg.br"",""nome"":""Jack Rocha"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220527"",""siglaUf"":""ES"",""siglaPartido"":""PT"",""id"":""220527""}",Sim
2026-05-06T20:53:41,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/224117.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.gabrielmota@camara.leg.br"",""nome"":""Gabriel Mota"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/224117"",""siglaUf"":""RR"",""siglaPartido"":""UNIÃO"",""id"":""224117""}",Sim
2026-05-06T20:53:37,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204473.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.generalgirao@camara.leg.br"",""nome"":""General Girão"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204473"",""siglaUf"":""RN"",""siglaPartido"":""PL"",""id"":""204473""}",Sim
2026-05-06T20:53:30,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/74161.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36844"",""idLegislatura"":""57"",""email"":""dep.reginaldolopes@camara.leg.br"",""nome"":""Reginaldo Lopes"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/74161"",""siglaUf"":""MG"",""siglaPartido"":""PT"",""id"":""74161""}",Sim
2026-05-06T20:53:24,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204390.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36835"",""idLegislatura"":""57"",""email"":""dep.professoralcides@camara.leg.br"",""nome"":""Professor Alcides"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204390"",""siglaUf"":""GO"",""siglaPartido"":""PSDB"",""id"":""204390""}",Sim
2026-05-06T20:53:24,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204410.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.luisacanziani@camara.leg.br"",""nome"":""Luisa Canziani"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204410"",""siglaUf"":""PR"",""siglaPartido"":""UNIÃO"",""id"":""204410""}",Sim
2026-05-06T20:53:10,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/73692.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.osmarterra@camara.leg.br"",""nome"":""Osmar Terra"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/73692"",""siglaUf"":""RS"",""siglaPartido"":""PL"",""id"":""73692""}",Não
2026-05-06T20:53:01,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220526.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.gilvandafederal@camara.leg.br"",""nome"":""Gilvan da Federal"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220526"",""siglaUf"":""ES"",""siglaPartido"":""PL"",""id"":""220526""}",Não
2026-05-06T20:53:00,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160552.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36834"",""idLegislatura"":""57"",""email"":""dep.danrleidedeushinterholz@camara.leg.br"",""nome"":""Danrlei de Deus Hinterholz"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160552"",""siglaUf"":""RS"",""siglaPartido"":""PSD"",""id"":""160552""}",Sim
2026-05-06T20:52:57,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204367.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.danielfreitas@camara.leg.br"",""nome"":""Daniel Freitas"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204367"",""siglaUf"":""SC"",""siglaPartido"":""PL"",""id"":""204367""}",Não
2026-05-06T20:52:54,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220595.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.coronelfernanda@camara.leg.br"",""nome"":""Coronel Fernanda"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220595"",""siglaUf"":""MT"",""siglaPartido"":""PL"",""id"":""220595""}",Não
2026-05-06T20:52:51,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/209787.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.nikolasferreira@camara.leg.br"",""nome"":""Nikolas Ferreira"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/209787"",""siglaUf"":""MG"",""siglaPartido"":""PL"",""id"":""209787""}",Não
2026-05-06T20:52:48,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/227991.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.drflavio@camara.leg.br"",""nome"":""Dr Flávio"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/227991"",""siglaUf"":""RJ"",""siglaPartido"":""PL"",""id"":""227991""}",Não
2026-05-06T20:52:47,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204449.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36896"",""idLegislatura"":""57"",""email"":""dep.nelsonbarbudo@camara.leg.br"",""nome"":""Nelson Barbudo"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204449"",""siglaUf"":""MT"",""siglaPartido"":""PODE"",""id"":""204449""}",Sim
2026-05-06T20:52:45,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220618.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36896"",""idLegislatura"":""57"",""email"":""dep.sargentoportugal@camara.leg.br"",""nome"":""Sargento Portugal"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220618"",""siglaUf"":""RJ"",""siglaPartido"":""PODE"",""id"":""220618""}",Sim
2026-05-06T20:52:40,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/220569.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/38009"",""idLegislatura"":""57"",""email"":""dep.silvyealves@camara.leg.br"",""nome"":""Silvye Alves"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/220569"",""siglaUf"":""GO"",""siglaPartido"":""UNIÃO"",""id"":""220569""}",Sim
2026-05-06T20:52:39,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/154178.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37908"",""idLegislatura"":""57"",""email"":""dep.miltonvieira@camara.leg.br"",""nome"":""Milton Vieira"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/154178"",""siglaUf"":""SP"",""siglaPartido"":""REPUBLICANOS"",""id"":""154178""}",Sim
2026-05-06T20:52:33,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/204472.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.josemedeiros@camara.leg.br"",""nome"":""José Medeiros"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/204472"",""siglaUf"":""MT"",""siglaPartido"":""PL"",""id"":""204472""}",Sim
2026-05-06T20:52:30,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/160561.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/37906"",""idLegislatura"":""57"",""email"":""dep.missionariojoseolimpio@camara.leg.br"",""nome"":""Missionário José Olimpio"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/160561"",""siglaUf"":""SP"",""siglaPartido"":""PL"",""id"":""160561""}",Não
2026-05-06T20:52:19,"{""urlFoto"":""https://www.camara.leg.br/internet/deputado/bandep/74317.jpg"",""uriPartido"":""https://dadosabertos.camara.leg.br/api/v2/partidos/36834"",""idLegislatura"":""57"",""email"":""dep.juliocesar@camara.leg.br"",""nome"":""Júlio Cesar"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/deputados/74317"",""siglaUf"":""PI"",""siglaPartido"":""PSD"",""id"":""74317""}",Sim
