id_deputado,id_despesa,categoria,data_referencia,valor_gasto,cnpj_fornecedor,nome_fornecedor,nome_deputado,uf,partido
141411,8077100,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2026-04-06,438,09478525000101,FERRATO & CIA LTDA,Dagoberto Nogueira,MS,PP
74467,D6B68A1E-BF69-408D-B8BE-5E1888568225,PASSAGEM AÉREA - SIGEPA,2026-01-28,1060.32,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8019939,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-11-26,21.87,03346671001330,TAIOBA SELF-SERVICE LTDA EPP,Welter,PR,PT
74270,8059640,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-03-02,4890,45414964000114,VIA LOCADORA DE AUTOMOVEIS LTDA,Gilberto Nascimento,SP,PSD
122158,3AE37436-EA6B-4C98-ABD6-69222B701653,PASSAGEM AÉREA - SIGEPA,2026-01-29,2057.15,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8090292,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-27,390,02503452000111,Matsuse Comercio de Derivados de Petroleo Ltda,Filipe Martins,TO,PL
66828,8066811,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-28,3850,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8073372,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-25,201.52,23597031000258,AUTO POSTO VIA ESTRUTURAL LTDA - LAGO SUL,Marangoni,SP,UNIÃO
220618,8043384,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-01-07,110.97,60444437000146,LIGHT SERVICOS DE ELETRICIDADE S A,Sargento Portugal,RJ,PODE
160538,8065792,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-04,5240,00758665000169,BIRO DE INFORMATICA NACIONAL EIRELI - EPP,Bohn Gass,RS,PT
141411,8078422,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2026-03-29,326,09478525000101,FERRATO & CIA LTDA,Dagoberto Nogueira,MS,PP
74467,D6B68A1E-BF69-408D-B8BE-5E1888568225,PASSAGEM AÉREA - SIGEPA,2026-01-28,141,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8019671,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-11-25,24.3,03346671001330,TAIOBA SELF-SERVICE LTDA EPP,Welter,PR,PT
74270,8079238,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-04-01,4890,45414964000114,VIA LOCADORA DE AUTOMOVEIS LTDA,Gilberto Nascimento,SP,PSD
122158,53CE90B4-5E0D-47FA-B3B1-A575D0FD45B7,PASSAGEM AÉREA - SIGEPA,2026-01-26,2558.69,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8054713,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-02,360,32196293000110,GC COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,8066563,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-28,4900,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8065570,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-09,252.08,03951672000170,AUTO POSTO SOF NORTE LTDA,Marangoni,SP,UNIÃO
220618,8071216,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-05,108.25,60444437000146,LIGHT SERVICOS DE ELETRICIDADE S A,Sargento Portugal,RJ,PODE
160538,8065269,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-04,5240,00758665000169,BIRO DE INFORMATICA NACIONAL EIRELI - EPP,Bohn Gass,RS,PT
141411,8063730,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-03-09,64.43,10463471000190,ZITAO RIO BRILHANTE,Dagoberto Nogueira,MS,PP
74467,15F8742C-8A74-4A8C-A380-2F5AA7E9F805,PASSAGEM AÉREA - SIGEPA,2026-01-20,2674.06,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8022896,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-11-29,123,46255952000157,R. GONCALVES RESTAURANTE LTDA,Welter,PR,PT
74270,8045297,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-03,4890,45414964000114,VIA LOCADORA DE AUTOMOVEIS LTDA,Gilberto Nascimento,SP,PSD
122158,75F0EB7D-2D70-49E6-A31D-AE24623D90F6,PASSAGEM AÉREA - SIGEPA,2026-01-26,2652.78,,LATAM Airlines Brasil,Pedro Paulo,RJ,PSD
220545,8039018,COMBUSTÍVEIS E LUBRIFICANTES.,2026-01-13,140,32196293000110,GC COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,8067706,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-03-13,5600,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8069953,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-23,297.91,04978708000172,AUTO POSTO PETROBRASILIA LTDA,Marangoni,SP,UNIÃO
220618,8084471,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-04-14,390,07286708000108,LGW INFORMATICA LTDA ME EPP,Sargento Portugal,RJ,PODE
160538,8062613,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-06,434.42,05563868002590,BELLER COMERCIO DE PAPEIS LTDA,Bohn Gass,RS,PT
141411,8067081,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-03-13,227.13,14150499000128,UNIVERSAL RESTAURANTE LTDA,Dagoberto Nogueira,MS,PP
74467,15F8742C-8A74-4A8C-A380-2F5AA7E9F805,PASSAGEM AÉREA - SIGEPA,2026-01-20,179,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8013007,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-11-12,59.3,47081557000168,MLI PRODUTOS ALIMENTICIOS LTDA,Welter,PR,PT
74270,8041169,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-01-13,6500,47121800000124,J.A. SERVICE E TRANSPORTE LTDA,Gilberto Nascimento,SP,PSD
122158,BCED208E-EC41-45A0-92EA-601499E597A4,PASSAGEM AÉREA - SIGEPA,2026-03-01,1952.88,,Gol Linhas Aéreas,Pedro Paulo,RJ,PSD
220545,8090296,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-30,360.03,04006471000168,CRUZ E CRUZ COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,8052893,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-12,3850,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8076342,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-06,4585.84,66130824000194,AUTO POSTO DON PEPE,Marangoni,SP,UNIÃO
220618,8064015,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-03-09,390,07286708000108,LGW INFORMATICA LTDA ME EPP,Sargento Portugal,RJ,PODE
160538,F0A0B939-72B0-4ED7-A05C-49E636B08D47,PASSAGEM AÉREA - SIGEPA,2025-12-15,2617.4,,LATAM Airlines Brasil,Bohn Gass,RS,PT
141411,8060605,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-03-04,102.23,33469172001644,SERVICO NACIONAL DE APREND. COMERCIAL,Dagoberto Nogueira,MS,PP
74467,D6A35B50-C84A-4C68-82AB-2964D5F29210,PASSAGEM AÉREA - SIGEPA,2026-01-07,2711.41,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8026760,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-12-03,76.08,10923812000162,MARZUK COMERCIO DE ALIMENTOS EIRELI,Welter,PR,PT
74270,8086801,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-04-23,6500,47121800000124,J.A. SERVICE E TRANSPORTE LTDA,Gilberto Nascimento,SP,PSD
122158,374A7159-5BF7-4928-89B0-64F7C3C2ED2A,PASSAGEM AÉREA - SIGEPA,2026-02-02,1144.06,,Azul Linhas Aéreas,Pedro Paulo,RJ,PSD
220545,8086589,COMBUSTÍVEIS E LUBRIFICANTES.,2026-04-19,320.03,04006471000168,CRUZ E CRUZ COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,8052889,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-12,3850,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8059094,COMBUSTÍVEIS E LUBRIFICANTES.,2026-03-03,4055.42,66130824000194,AUTO POSTO DON PEPE,Marangoni,SP,UNIÃO
220618,8051738,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-02-09,330,07286708000108,LGW INFORMATICA LTDA ME EPP,Sargento Portugal,RJ,PODE
160538,E4918CC3-7776-44E1-8DE0-3067E8B97A82,PASSAGEM AÉREA - SIGEPA,2025-12-04,1462.04,,LATAM Airlines Brasil,Bohn Gass,RS,PT
141411,8056414,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-02-25,102.23,33469172001644,SERVICO NACIONAL DE APREND. COMERCIAL,Dagoberto Nogueira,MS,PP
74467,D6A35B50-C84A-4C68-82AB-2964D5F29210,PASSAGEM AÉREA - SIGEPA,2026-01-07,111,,LATAM Airlines Brasil,Damião Feliciano,PB,UNIÃO
224333,8015095,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2025-11-14,58,02295928000176,M A DOS SANTOS ITAGUAJE LTDA,Welter,PR,PT
74270,8071385,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-03-17,6500,47121800000124,J.A. SERVICE E TRANSPORTE LTDA,Gilberto Nascimento,SP,PSD
122158,12A97930-6F47-4B17-9AFE-2C1BED3101A5,PASSAGEM AÉREA - SIGEPA,2026-02-24,1192.43,,Azul Linhas Aéreas,Pedro Paulo,RJ,PSD
220545,8057057,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-26,200.1,04006471000168,CRUZ E CRUZ COMERCIO DE COMBUSTIVEIS LTDA,Filipe Martins,TO,PL
66828,8052886,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,2026-02-12,4900,07319323000191,PANTANAL VEÍCULOS LTDA,Fausto Pinato,SP,PP
220648,8044669,COMBUSTÍVEIS E LUBRIFICANTES.,2026-02-02,4000,66130824000194,AUTO POSTO DON PEPE,Marangoni,SP,UNIÃO
220618,8076713,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2026-04-06,3071.18,05492065000115,BNI - NEGÓCIOS IMOBILIÁRIOS LTDA,Sargento Portugal,RJ,PODE
